,page_path,inner_text,attr_class,attr_url
0,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange hide-mobile,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0EX9F&productId=9-88GEE80&productId=9-8T3W3S1
1,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange hide-desktop,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0EX9F&productId=9-88GEE80&productId=9-8T3W3S1
2,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0EX9F&productId=9-88GEE80
3,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange hide-mobile,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0DVB1&productId=9-88GEE80&productId=9-8T3W3S1
4,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange hide-desktop,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0DVB1&productId=9-88GEE80&productId=9-8T3W3S1
5,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-CB0EX9F&productId=9-88GEE80&itensadicionais=11
6,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-CB0DV9O&productId=9-88GEE80&productId=9-8T3W3S1
7,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-CB0DVB1&productId=9-88GEE80&productId=9-8T3W3S1
8,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0EX9F&productId=9-92TVJSI&productId=9-8T3W3S1
9,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0DV9O&productId=9-92TVJSI&productId=9-8T3W3S1
10,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-CB0DVB1&productId=9-92TVJSI&productId=9-8T3W3S1
11,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-CB0EX9F&productId=9-92TVJSI&productId=9-8T3W3S1
12,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange   btn-full btn-assign,https://compre.vivo.com.br/assine/vivototal/consulta?productIds=1&promotion=regional_red
13,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange   btn-full btn-assign,https://compre.vivo.com.br/assine/vivototal/consulta?productIds=2&promotion=regional
14,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange   btn-full btn-assign,https://compre.vivo.com.br/assine/vivototal/consulta?productIds=3&promotion=regional_red
15,/para-voce/produtos-e-servicos/combos/combos,Assine já,btn-orange   btn-full btn-assign,https://compre.vivo.com.br/assine/vivototal/consulta?productIds=4
